status,id,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,journal,volume,issue,pages,year,main_theme,secondary_theme,lang,link,doi,publication_country,search_term,rest,booktitle
matched,de_Oliveira_Andreotti_2014,article,Between the nation and the globe: education for global mindedness in Finland,"Andreotti, Vanessa de Oliveira","Biesta, Gert","Ahenakew, Cash",,,,,,,,"Globalisation, Societies and Education",13,2,246-259,2014,['Policy related research'],[],English,,10.1080/14767724.2014.934073,,,,
matched,Ahn_2015,article,Criticality for global citizenship in Korean English immersion camps,"Ahn, So-Yeon",,,,,,,,,,Language and Intercultural Communication,15,4,533-549,2015,['Policy related research'],[],English,,10.1080/14708477.2015.1049612,,,,
matched,Arrowsmith_2017,article,Institutional approaches for building intercultural understanding into the curriculum: an Australian perspective,"Arrowsmith, Colin","Mandla, Venkata Ravibabu",,,,,,,,,Journal of Geography in Higher Education,41,4,475-487,2017,['Policy related research'],[],English,,10.1080/03098265.2017.1337733,,,,
matched,Bamber_2016,article,A comparative review of policy and practice for education for sustainable development/education for global citizenship (ESD/GC) in teacher education across the four nations of the UK,"Bamber, Philip","Bullivant, Andrea","Glover, Alison","King, Betsy","McCann, Gerard",,,,,,Management in Education,30,3,112-120,2016,['Policy related research'],[],English,,10.1177/0892020616653179,,,,
matched,Bangay_2016,article,Protecting the future: The role of school education in sustainable development – an Indian case study,"Bangay, Colin",,,,,,,,,,International Journal of Development Education and Global Learning,8,1,5-19,2016,['Policy related research'],[],English,,10.18546/ijdegl.8.1.02,,,,
matched,Berry_2015,article,What does learning for all mean for DFID′s global education work?,"Berry, Christopher","Barnett, Edward","Hinton, Rachel",,,,,,,,International Journal of Educational Development,40,not found,323-329,2015,['Policy related research'],[],English,,10.1016/j.ijedudev.2014.11.007,,,,
matched,Bourn_2017,article,Global citizenship and youth participation,"Bourn, Douglas",,,,,,,,,,Race Equality Teaching,34,2,10-14,2017,['Policy related research'],[],English,,10.18546/ret.34.2.03,,,,
matched,Broom_2015,article,Social Studies in Three Canadian Provinces: A Comparative Exploration,"Broom, Catherine",,,,,,,,,,Comparative and International Education,44,1,not found,2015,['Policy related research'],[],English,https://ir.lib.uwo.ca/cie-eci/vol44/iss1/4,10.5206/cie-eci.v44i1.9268,,,,
matched,Calvo_2017,article,"The state of development education in Spain: Initiatives, trends and challenges","Calvo Salvador, Adelina",,,,,,,,,,International Journal of Development Education and Global Learning,9,1,18-32,2017,['Policy related research'],[],English,,10.18546/ijdegl.9.1.03,,,,
matched,Cho_2017,article,Neoliberal practices amidst social justice orientations: global citizenship education in South Korea,"Cho, Hye Seung","Mosselson, Jacqueline",,,,,,,,,Compare: A Journal of Comparative and International Education,48,6,861-878,2017,['Policy related research'],[],English,,10.1080/03057925.2017.1364154,,,,
