Articles authors,Book authors and editors,Theses authors,"Controllare i doppioni 
e sostituire ovunque in tabella 
""articles"" ""books_and_chapters"" 
e ""theses""",,"I nomi nella forma ""N. Cognome""
sono potenziali duplicati, così come i nomi nella forma ""Cognome, N. N."". 
Ove possibile preferire i nomi per esteso. 
Sostituire nelle altre tabelle le forme alternative con quella preferita 
e cancellare qui le celle contenenti le forme alternative",,,,,,NEL CASO CI SIANO DUBBI EVIDENZIARE LA CASELLA IN COLORE VERDE
Anamika,,,,,,,,,,,
"ANDREW, Kristina","Brucker, Ambros ",ACCIONA,,,,,,,,,
"Audley, Shannon","Anthony, C. Clemons",ACER.,,,,,,,,,
"Abal de Hevia, Isabel"," Casado, Antonio da Rocha",ACODEV,,,,,,,,,
"Abdi, Ali A.",,AECID,,,,,,,,,
"Abreu, Ricardo Nascimento"," Bridges, D. ","Abblitt, G.",,,,,,,,,
"Adams, Naomi"," Arlindo, Philippi Jr.","Agarwalla, H.",,,,,,,,,
"Adams, Susan R."," English, Andrea R.","Al-Dandani, K.",,,,,,,,,
"Aloisio, Kathryn",,"Alasuutari, Hanna",,,,,,,,,
"Adarlo, Genejane Monroy","Traver, Amy E.","Alawattage, Udeani Prasanga",,,,,,,,,
"Adekola, Olalekan Adeban"," Volpicella, A.M.",Alberola Enguix. L.,,,,,,,,,
"Adetunji, Adegoke",,"Alcocer Medina, L. F.",,,,,,,,,
"Agbedahin, Adesuwa Vanessa","Abbasov, Abbas","Alcock, H. L.",,,,,,,,,
"Agnew, Deborah",,"Allen, Yvette",,,,,,,,,
"Aguaded, Ignacio","Abdi, Ali A.","Alonso Martínez, H.",,,,,,,,,
"Aguado, Guillermo",,"Alvarez-Hevia, D. M.",,,,,,,,,
"Aguado, Teresa","Abdou, Ehaab D.","Amadei, B.",,,,,,,,,
"Agudelo, Mayeline Gómez","Adamczyk, A.","Amsler, Sarah",,,,,,,,,
"Anderson, Alida","Agraso, L. Rego","Anderson, K.",,,,,,,,,
"Aguilar-Forero, Juan Nicolás","Agrusti, Gabriella",Anna Lindh Foundation,,,,,,,,,
"Aguirre Ledezma, Noel","Aguiar, Ana Raquel","Antoine, S.",,,,,,,,,
"Aguirre Mejía, Patricia Marlene","Aguirre Chávez, F.","Arias Rubio, Gala",,,,,,,,,
"Aguirre, Daniela","Aguirre Ibarra, O. G.","Arias, Begoña",,,,,,,,,
"Aguirre, Luisa Amézquita","Ahmed, Sara O.","Arimoto,M.",,,,,,,,,
"Aguirregabiria  Barturen, F. Javier","Ainley, John","Arispe Hinojosa, V.",,,,,,,,,
"Ahedo, Igor","Akkari, Abdeljalil","Ariza Núñez, A.",,,,,,,,,
,"Alaerts, Leen","Arrazola Carballo, J.",,,,,,,,,
"Ahenakew, Cash",,"Artigas Lelong, B.",,,,,,,,,
"Ahmed, A. Kayum","De Alba-Fernández, Nicolás ","Ashadi, A. C. P.",,,,,,,,,
"Ahmed, Rashid","Alcaro, Anna","Astle, J.",,,,,,,,,
"Ahn, So-Yeon","Aldás, Eloísa Nos","Avery, F. M.",,,,,,,,,
"Akdağ, Emma Guion","Alfaro Ameiro, M. et al.","Awad, Y. R.",,,,,,,,,
"Akkari, Abdeljalil","Alford, Jennifer","Ayitey, K.",,,,,,,,,
"Aktas, Fatih","Allen, Yvette","Azizi, M.B.",,,,,,,,,
"Al-Ebrahim, Bibi","Almeida Freire, Ludmila de","Bai, J.",,,,,,,,,
"AlMaamari, Saif Nasser","Altinyelken, H. K.","Bamber, Philip",,,,,,,,,
"Alaerts, Leen","Alvarez-Hevia, D. M.","Baranowska, K.",,,,,,,,,
"Alasuutari, Hanna","Alviar-Martin, Theresa","Bardo, N.",,,,,,,,,
"Alba, Bienvenida Sánchez","Alwi, Aliza","Barker, L. R.",,,,,,,,,
,"Alwi, Amyzar","Bartosik, Ł.",,,,,,,,,
"Albanese, Veronica","Ambel, M. (a cura di)","Bastaki, M.",,,,,,,,,
"Albert, Sonia París","Amor Almedina, M. I. (Coord.)","Bastos, R.S.",,,,,,,,,
"Alcaide Capilla, Ángela","Amor Almedina, M. I.","Beck, B.",,,,,,,,,
"Alcorta, Martine",,"Belda-Miquel, Sergio",,,,,,,,,
"Alcántara Rubio, Lucía",,,,,,,,,,,
"Alcántara-Santuario, Armando","Andreotti, Vanessa De Oliveira","Bellido Cala, J. A.",,,,,,,,,
"Alcântara, Liliane Cristine Schlemer","Andreu Mediero, B. (Eds.)","Belt, A. S.",,,,,,,,,
"Aldás, Eloísa Nos","Aneas Álvarez, A.","Beltran, A. C. D.",,,,,,,,,
"Alejo, Antonio","Angelini, M. Laura","Benavot, A.",,,,,,,,,
"Aleksiak, Dobrawa","Anguita Acero, J. M.","Bernard, J.",,,,,,,,,
"Alem, Naziha","Angyagre, Simon Eten","Bhattacharya, J.",,,,,,,,,
"Alfaro, Nancy","Ansell, N.","Binns, D. C.",,,,,,,,,
"Ali, Goher","Arenas Dolz, F.","Blasco-Serrano, Ana Cristina",,,,,,,,,
"Allan, Alexandra",,"Blasko, Z.",,,,,,,,,
"Alldred, Neil","Arnoso, M.","Block, T.",,,,,,,,,
"Almeida Freire, Ludmila de","Arregi Orue, J. I.",,,,,,,,,,
"Almeida, Joana","Arroyo Doreste, A.","Blum, Nicole",,,,,,,,,
"Almendras-Chacana, Rocío","Arruda, Juliana Silva","Bolourieh, F.",,,,,,,,,
"Alonso-García, Santiago","Arthur, James","Boni, Aristizábal Alejandra",,,,,,,,,
"Alpe, Yves","Arulanantham, A.",,,,,,,,,,
,"Arévalo, A.",,,,,,,,,,
"Alsina, Ángel","Asencios Trujillo, Lucia","Bordeianu, A. D.",,,,,,,,,
"Alvarado, Benjamín Maldonado","Asfaha, Y.M.","Boughazi, A.",,,,,,,,,
"Alvarez, Linda","Aslan, M."," Lahmidi, Meriam Boulahrouz",,,,,,,,,
"Alves Machado , Shirley","Augustine, T.","Bourn, Douglas",,,,,,,,,
"Alviar-Martin, Theresa","Awolalu, O.","Bowden, R.",,,,,,,,,
"Alvinius, Aida","Aznar Díaz, I.",Bridge 47,,,,,,,,,
"Amador Muñoz, Luis Vicente","Cozza, B.","Brown, Kate",,,,,,,,,
"Amante, Susana","Hafeneger, B.","Brown, Katharine Jassie",,,,,,,,,
"Amaya García, Marcela A.","Porfilio, B. J.","Brummel, M.",,,,,,,,,
"Amigorena, Maialen Muguerza","Jeffrey, B.","Brunelli, Catia",,,,,,,,,
"Amos, Rob",,"Budovalcev Konitzer, J.",,,,,,,,,
,"Tarman, B.","Bullivant, Andrea",,,,,,,,,
"Andrade, Adela Molina"," Widmaier, B. (Eds.)",CCI,,,,,,,,,
"Andrade, Ana Isabel","Babicki, Zbigniew","Cabrera, Julio",,,,,,,,,
"Andrade, Antonio Lindomar Rodrigues","Bach, Anne","Calabuig-Tormo, Carola",,,,,,,,,
,"Bade, G.","Calhoun, Bill",,,,,,,,,
"Andreotti, Vanessa de Oliveira","Badowska, Mariola","Callaert, J.",,,,,,,,,
"Andrews, Kristina","Bagnall, Nigel","Calley, S. A.",,,,,,,,,
"Andrian, Nicola","Bakitov, Aitkali","Calvo Salvador, Adelina",,,,,,,,,
"Angele, Claudia","Balducci, E.","Camargo Ramalho, P.",,,,,,,,,
"Angelides, Panayiotis","Balzer, G.","Cameron, S.S.",,,,,,,,,
"Angelis, Romina De",,"Cara, O.",,,,,,,,,
,"Bamber, Philip (Ed.).","Caramelo, João",,,,,,,,,
"Angyagre, Simon Eten","Bamber, Philip","Carmona, J.",,,,,,,,,
"Antonelli, Marta","Banki, Susan","Carneros Revuelta, S.",,,,,,,,,
"Antunes, Katiuscia Cristina Vargas","Baraniewicz-Kotasińska, S.","Carr, P. R.",,,,,,,,,
"Apel, Heino","Barba, Bruno","Carrica-Ochoa, Sarah",,,,,,,,,
"Apodaca, Erica González","Barberis, E.","Carson, M.",,,,,,,,,
"Applis, Stefan","Barbosa, Gabriela","Casado, B.",,,,,,,,,
"Aragón, Lourdes","Baroncelli, C. (A c. di).","Castejón Company, A.",,,,,,,,,
"Aramburuzabala, Pilar","Barroso, M. C. (Coord.)","Catalán Pesce, R.",,,,,,,,,
"Arango Ruiz, Álvaro de Jesús",,"Cavanagh, C.",,,,,,,,,
"Aranguren, Javier","Barth, Matthias","Cella, Sara",,,,,,,,,
"Araújo, Alina","Bartosewicz, J.","Carlos, Ana Isabel",,,,,,,,,
"Araújo, Graciete dos Santos","Basurko, I","Celorio, Gema",,,,,,,,,
"Araújo, Ordália Cristina Gonçalves","Baßler, Sabine",,,,,,,,,,
"Arce, Roberto Arias","Becker, Gerhard","Celorio, J. J.",,,,,,,,,
"Ardanaz Ibáñez, Miguel","Bednarczyk, H.","Chabbott, C.",,,,,,,,,
"Areesophonpichet, Sornnate",,"Chan, S.Y.",,,,,,,,,
"Arefi, Mahbobe",,"Cheng, A.",,,,,,,,,
"Arenas, Elia Torres","Bednarz, Sarah Witham","Cheng, Li",,,,,,,,,
"Argenal, Amy","Beer de, F.","Chineka, R.",,,,,,,,,
"Argüelles Santiago, Jazmín Nallely","Beeson, Sherrie Rhodes","Cho, Hye Seung",,,,,,,,,
"Arias Hernández, Gabriela","Behrens, Roger","Chomczyńska-Czepiel, A.",,,,,,,,,
"Arias, Blanca Nubia","Belay, A.","Christoff, A.",,,,,,,,,
"Arias, Jaime Mora",,"Cieślikowska, D.",,,,,,,,,
"Arias-Ortega, Katerin Elizabeth","Belda-Miquel, Sergio","Cipollari, Giovanna",,,,,,,,,
"Ariemma, Lucia","Bell, Kati","Cochrane, M.",,,,,,,,,
"Arrowsmith, Colin","Bendix, Daniel","Coelho, Carina",,,,,,,,,
"Arroyo, Jorge Fernández","Bennett, Michael","Coelho, Dalila P.",,,,,,,,,
"Arrubia, Eduardo","Bentall, Clare","Coelho, La Salete",,,,,,,,,
"Arruda, Juliana Silva",Benvenuti Loris,"Collins, A.",,,,,,,,,
"Arshad-Ayaz, Adeela","Bergen, Jennifer K.","Coma-Roselló, Teresa",,,,,,,,,
"Arteaga, Cristina María Guadalupe García Rendón","Bergmann, M.","Combs, T. M.",,,,,,,,,
"Arthur, Lore","Bergmüller, Claudia","Concatto, Ana Maria de Nicoló",,,,,,,,,
"Arévalo, Marta","Berndt, C.","Conde Lacárcel, A.",,,,,,,,,
"Asenjo, Juan Tomás","Bertels, Ursula","Conning, A. S.",,,,,,,,,
"Asgharzadeh, Alireza","Beyak, T.",Coordinadora Andaluza de ONGD,,,,,,,,,
"Assis, Natalia","Bikowski, Dawn",Coordinadora de Organizaciones para el Desarrollo,,,,,,,,,
"Atasoy, Emin",,"Correia, L.G.",,,,,,,,,
"Aubrey, Meg","Birk, Tammy","Corvino, Isabella",,,,,,,,,
,,"Costa, A.S.",,,,,,,,,
"Auh, Yoonil","Bista, Krishna","Costa, F.",,,,,,,,,
"Auld, Euan",,"Costa, J.",,,,,,,,,
"Avery, Helen","Black, Paul","Cotton, Colette",,,,,,,,,
,"Black, Rosalyn","Crane-Cory, J.",,,,,,,,,
"Aydin, Hasan","Blanch, Joan Pagès","Czepiel, K.",,,,,,,,,
"Azam, Gesow","Blasco-Serrano, Ana Cristina","D'Antoni, D.",,,,,,,,,
"Azzahrawi, Rawia","Blessinger, Patrick"," Miranda, Daniel",,,,,,,,,
"Açıkalın, Mehmet","Bloom, Mark","Dabrowski, A.",,,,,,,,,
"Ait-Bouzid, Hassan","Bludau, M.","Dalby, T.P.",,,,,,,,,
,,"Damiani, Valeria",,,,,,,,,
"Baamonde-Silva, Xosé","Blum, Nicole","Danielski, K.",,,,,,,,,
"Babicki, Zbigniew","Boettcher, Christopher","Davidson, L.",,,,,,,,,
"Badowska, Mariola","Bogaert, Koen","Davies, Ian",,,,,,,,,
