status,id,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,booktitle,editor_1,editor_2,editor_3,editor_4,editor_5,editor_6,editor_7,editor_8,editor_9,editor_10,journal,volume,issue,publisher,pages,year,main_theme,secondary_theme,lang,link,doi,publication_country,search_term,rest
matched,2019,article,"RESEÑA: EL APRENDIZAJE-SERVICIO EN EDUCACIÓN SUPERIOR. TEORÍA, PRÁCTICA Y PERSPECTIVA CRÍTICA","Deeley, S.",,,,,,,,,,,,,,,,,,,,,RIDAS,,,Edicions de la Universitat de Barcelona,,2019,['Higher education research'],[],Spanish,http://revistes.ub.edu/index.php/RIDAS/article/view/RIDAS2017.3.14/22056,10.1344/ridas2017.3.14,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
matched,Pinz_n_C__2018,article,Del otro lado de la muralla. Experiencias de educación en derechos humanos en Cartagena de Indias y San Basilio de Palenque,"Pinzón C., David R. ",,,,,,,,,,,,,,,,,,,,,Nómadas,,49,Universidad Central - Colombia,272-276,2018,['Formal Education'],[],Spanish,https://dialnet.unirioja.es/servlet/articulo?codigo=6888279,10.30578/nomadas.n49a17,,CIUDADANÍA GLOBAL,
matched,Field_2016,article,"International Comparative Adult Education Research. Reflections on theory, methodology and future developments","Field, John","Künzel, Klaus","Schemmann, Michael",,,,,,,,,,,,,,,,,,,Internationales Jahrbuch der Erwachsenenbildung,39,1,Portico,,2016,['Non-formal education'],[],German,,10.7788/ijbe-2016-0108,,,
matched,King_2019,article,"Education, digital literacy and democracy: the case of Britain's proposed `exit' from the European Union (Brexit)","King, Kenneth",,,,,,,,,,Practices of Citizenship in East Africa: Perspectives from Philosophical Pragmatism,"Holma, Katariina","Kontinen, Tiina",,,,,,,,,Asia Pacific Education Review,20,2,Springer Science and Business Media LLC,285-294,2019,"['conceptual publications', 'Theoretical']",[],English,,10.1007/s12564-019-09594-0,,,
matched,van_Oudenhoven_2019,article,Global Citizenship in a Fragmenting and Polarizing World,"van Oudenhoven, Nico","van Oudenhoven, Rona Jualla",,,,,,,,,Practices of Citizenship in East Africa: Perspectives from Philosophical Pragmatism,"Holma, Katariina","Kontinen, Tiina",,,,,,,,,Childhood Education,95,3,Informa UK Limited,39-43,2019,"['conceptual publications', 'Theoretical']","['Informal education including youth work, media', 'community work']",English,,10.1080/00094056.2019.1616468,,,
matched,Whalen_2020,article,Cosmopolitanism: Rethinking the Agenda of Education Abroad,"Whalen, Brian","Woolf, Michael",,,,,,,,,The Bloomsbury Handbook of Global Educationa and Learning," Bourn, Douglas",,,,,,,,,,Frontiers: The Interdisciplinary Journal of Study Abroad,32,3,The Forum on Education Abroad,72-98,2020,"['conceptual publications', 'Theoretical']",[],English,,10.36366/frontiers.v32i3.580,,,
matched,Estelles_2016,article,Review of What kind of citizen? Educating our children for the common good,"Estelles, Marta",,,,,,,,,,,,,,,,,,,,,Education Review // Reseñas Educativas,23,,Education Policy Analysis Archives,,2016,['Formal Education'],[],English,,10.14507/er.v23.2074,,,
matched,Scheunpflug_2012,article,Globales Lernen und religiöse Bildung,"Scheunpflug, Annette",,,,,,,,,,Lernimpulse Grundschule,IRP Freiburg,,,,,,,,,,Zeitschrift für Pädagogik und Theologie,64,3,Walter de Gruyter GmbH,221-230,2012,['Formal Education'],"['conceptual publications', 'Theoretical']",German,,10.1515/zpt-2012-0304,,,
matched,Ibarra_Figueroa_2022,article,Educación para la ciudadanía global,"Figueroa, Williams Ibarra","Leyton, Elia Calderón",,,,,,,,,,,,,,,,,,,,Acta Scientiarum. Education,44,,Universidade Estadual de Maringa,e60717,2022,['Formal Education'],"['conceptual publications', 'Theoretical']",Spanish,https://www.sintesis.com/data/indices/9788413570174.pdf,10.4025/actascieduc.v44i1.60717,,,
matched,Beeson_2019,article,"Making Global Learning Universal: Promoting Inclusion and Success for All Students, by Hilary Landorf, Stephanie Doscher, and Jaffus Hardrick. Sterling, VA: Stylus, 2018. 273 pages, $125.00 (hardcover).","Beeson, Sherrie Rhodes",,,,,,,,,,,,,,,,,,,,,New Horizons in Adult Education and Human Resource Development,31,3,Wiley,72-74,2019,['Formal Education'],[],English,https://styluspub.presswarehouse.com/browse/book/9781620363607/Making-Global-Learning-Universal,10.1002/nha3.20257,,,
matched,Ugwuozor_2019,article,Philosophical Education and Global Citizenship: Tapping into the Process Philosophy of Alfred North Whitehead,"Ugwuozor, Felix Okechukwu",,,,,,,,,,"Transnational Perspectives on Democracy, Citizenship, Human Rights and Peace Education","Edge, Karen",,,,,,,,,,New Zealand Journal of Educational Studies,54,1,Springer Science and Business Media LLC,179-194,2019,"['conceptual publications', 'Theoretical']",['Formal Education'],English,,10.1007/s40841-019-00125-4,,,
matched,Sk_r_s_2019,article,"THE ETHNIC/LOCAL, THE NATIONAL AND THE GLOBAL: GLOBAL CITIZENSHIP EDUCATION IN SOUTH SUDAN","Skårås, Merethe","Carsillo, Tami","Breidlid, Anders",,,,,,,,Practices of Citizenship in East Africa: Perspectives from Philosophical Pragmatism,"Holma, Katariina","Kontinen, Tiina",,,,,,,,,British Journal of Educational Studies,68,2,Informa UK Limited,219-239,2019,['Non-formal education'],[],English,,10.1080/00071005.2019.1598540,,,
matched,English_2016,article,"John Dewey and the Role of the Teacher in a Globalized World: Imagination, empathy, and `third voice'","English, Andrea R.",,,,,,,,,,John Dewey’s Democracy and Education on an Era of Globalization,"Gordon, Mordechai"," English, Andrea R.",,,,,,,,,Educational Philosophy and Theory,48,10,Informa UK Limited,1046-1064,2016,"['training of trainers', 'Teacher education']","['conceptual publications', 'Theoretical']",English,https://www.tandfonline.com/doi/abs/10.1080/00131857.2016.1202806,10.1080/00131857.2016.1202806,,,
matched,Thomas_2020,article,Toward a framework for assessing the `global' and `citizen' in global citizenship education in Australia and beyond,"Thomas, Matthew A. M.","Banki, Susan",,,,,,,,,Discourse: Studies in the CUltural Politics of Education.,,,,,,,,,,,Discourse: Studies in the Cultural Politics of Education,42,5,Informa UK Limited,732-748,2020,"['conceptual publications', 'Theoretical']",[],English,,10.1080/01596306.2020.1843113,,,
matched,Pashby_2020,article,A meta-review of typologies of global citizenship education,"Pashby, Karen","da Costa, Marta","Stein, Sharon","Andreotti, Vanessa de Oliveira",,,,,,,"Transnational Perspectives on Democracy, Citizenship, Human Rights and Peace Education","Edge, Karen",,,,,,,,,,Comparative Education,56,2,Informa UK Limited,144-164,2020,"['conceptual publications', 'Theoretical']",[],English,,10.1080/03050068.2020.1723352,,,
matched,Abbasov_2019,article,Making global learning universal: promoting inclusion and success for all students,"Abbasov, Abbas",,,,,,,,,,,,,,,,,,,,,Compare: A Journal of Comparative and International Education,50,5,Informa UK Limited,769-770,2019,"['conceptual publications', 'Theoretical']",['Formal Education'],English,https://styluspub.presswarehouse.com/browse/book/9781620363607/Making-Global-Learning-Universal,10.1080/03057925.2019.1655238,,,
matched,Leivas_2018,article,From the body to the city: participatory action research with social cartography for transformative education and global citizenship,"Leivas, Monique",,,,,,,,,,"Transnational Perspectives on Democracy, Citizenship, Human Rights and Peace Education","Drinkwater, M.","Rizvi, Fazal","Edge, Karen",,,,,,,,Educational Action Research,27,1,Informa UK Limited,40-56,2018,"['community work', 'Informal education including youth work, media']",[],English,,10.1080/09650792.2018.1519453,,,
matched,Scoffham_2019,article,"The world in their heads: children's ideas about other nations, peoples and cultures","Scoffham, Stephen",,,,,,,,,,"Exploring the Complexities in Global Citizenship Education: Hard Spaces, Methodologies, and Ethics","Misiaszek, Lauren Ila",,,,,,,,,,International Research in Geographical and Environmental Education,28,2,Informa UK Limited,89-102,2019,"['conceptual publications', 'Theoretical']",[],English,,10.1080/10382046.2019.1529712,,,
