Journals titles,"Controllare i doppioni 
e sostituire ovunque in tabella ""articles"""
Access,
ACME,
Acta Didactica Napocensia,
Action in Teacher Education,
Actualidades Investigativas en Educación,
Administration & Éducation,
Advocatus,
AERA Open,
African Educational Research Journal,
Africana Studia,
Agora U.S.B.,
"Aibi revista de investigación, administración e ingeniería",
Alamedas,
Algemeen Nederlands Tijdschrift voor Wijsbegeerte,
"Aloma: Revista de Psicologia, Ciències de l′Educació i de l′Esport",
Alpha,
,
Alteridad,
American Association of University Administrators,
American Journal of Public Health,
Anais Do Workshop De Informática Na Escola,
Análisis,
Annali online della Didattica e della Formazione Docente,
Annals of Tourism Research,
Anthropology & Education Quarterly,
Antropología Experimental,
Aotearoa New Zealand Social Work,
Arab World English Journal,
Area,
Articles,
Articles / Les articles,
Asia Pacific Education Review,
Asia Pacific Journal of Education,
Asia-Pacific Journal of Teacher Education,
Asian Education and Development Studies,
Asian Journal of Political Science,
"ASRI, Arte and sociedad, revista de investigación",
Aula Abierta,
Aula de Encuentro,
Aula de innovación educativa,
Aura - Dodatek Ekologiczny dla Szkół,
Außerschulische Bildung,
Australian Journal of Teacher Education,
Avances en supervisión educativa: Revista de la Asociación de Inspectores de Educación de España,
Białostockie Studia Prawnicze,
Bildung & wissenschaft,
Bildung zur Nachhaltigkeit,
BMC Medical Education,
Bolema: Boletim de Educação Matemática,
Boletín Redipe,
Bordón. Revista de Pedagogía,
Brazilian Journal of Development,
British Journal of Educational Studies,
British Journal of Sociology of Education,
BRU: Magazin für den Religionsunterricht an berufsbildenden Schulen,
Cadernos Brasileiros de Terapia Ocupacional,
CADMO,
Calidad en la educación,
Cambio. Rivista sulle Trasformazioni Sociali,
Cambridge Journal of Education,
Canadian Journal of Development Studies / Revue canadienne d′études du développement,
Canadian Journal of Education / Revue canadienne de l′éducation,
Carrefours de l′éducation,
Center for Educational Policy Studies Journal,
Child Development,
Childhood,
Childhood Education,
Children & Society,
Children and Youth Services Review,
Children's Geographies,
Chinese Education & Society,
Chowanna,
Ciência & Saúde Coletiva,
CIENCIA ergo sum,
Científic@ - Multidisciplinary Journal,
"CIRIEC-España, revista de economía pública, social y cooperativa",
Citizenship Education Research Journal / Revue de recherche sur l'éducation à la citoyenneté,
Citizenship Teaching & Learning,
"Citizenship, Social and Economics Education",
College Student Affairs Journal,
Comillas Journal of International Relations,
Comparative and International Education,
Comparative Education,
Comparative Education Review,
Compare: A Journal of Comparative and International Education,
Comunicar,
Contextos: Estudios De Humanidades and Ciencias Sociales,
Contribuciones a las Ciencias Sociales,
Convergencia Revista de Ciencias Sociales,
Cosmopolitan Civil Societies: An Interdisciplinary Journal,
Courrier hebdomadaire du CRISP,
"CPU-e, Revista de Investigación Educativa",
Critical Ethnic Studies,
Critical Literacy: Theories and Practices,
Critical Perspectives on Accounting,
Critical Studies in Education,
Cuadernos de Pedagogía,
Cultura - Hombre - Sociedad CUHSO,
Cultura and Representaciones Sociales,
cultural geographies,
Cultural Studies $łeftrightarrow$ Critical Methodologies,
Culturales,
Culture e Studi del Sociale,
Current Opinion in Environmental Sustainability,
Currículo sem Fronteiras,
Curriculum and Teaching,
Curriculum Inquiry,
Czasopismo Geograficzne,
Da Investigação às Práticas: Estudos de Natureza Educacional,
Das Baugerüst,
Debates & Prácticas En Educación,
"Decolonization: Indigeneity, Education & Society",
Democracy and Education,
Der fremdsprachliche Unterricht (Englisch),
Der fremdsprachliche Unterricht (Spanisch),
Derechos en Acción,
Desacatos,
Development in Practice,
Development Policy Review,
Déviance et Société,
Diálogo Andino,
Diálogo Filosófico,
Diálogos Educativos para a Transformação Social,
Didáctica de las ciencias experimentales and sociales,
Didasc@lia: Didáctica and Educación,
Dimensies,
Direito e Desenvolvimento,
Diretoria-Conpedi,
Dis.kurs,
Discourse and Communication for Sustainable Education,
Discourse: Studies in the Cultural Politics of Education,
Diversités recherches et terrains,
DIXI,
Drohiczyński Przegląd Naukowy: Wielokulturowe studia Drohiczyńskiego Towarzystwa Naukowego,
"E-DHC, Quaderns Electrònics sobre el Desenvolupament Humà i la Cooperació",
e-mentor,
e-Mosaicos,
Educação & Sociedade,
Educação Ambiental E Valores Na Escola,
Educação e Contemporaneidade,
Educação e Pesquisa,
Educação em Revista,
Educação Por Escrito,
"Educação, Sociedade & Culturas",
Educación,
Educación and Diversidad,
Educación and Futuro Digital,
Educación social: Revista de intervención socioeducativa,
Educación XX1,
Educar,
Educar em Revista,
Educatio Siglo XXI,
Education 3-13,
Education as Change,
"Education des adultes et développement, DVV International",
Education en débats : analyse comparée,
Éducation et didactique,
Éducation et francophonie,
Éducation et sociétés,
education policy analysis archives,
Éducation relative à l′environnement,
Education Sciences,
EDUCATION SCIENCES AND SOCIETY,
"Education, Citizenship and Social Justice",
"Education, Politics, and Culture",
Educational Leadership,
Educational Media International,
Educational Philosophy and Theory,
Educational Policy,
Educational Research for Social Change,
Educational Researcher,
Educational Review,
Educational Studies,
Educational Studies in Japan,
Educere,
Edukacja Międzykulturowa,
Eduser - Revista de Educação,
EduSol,
Eine Welt in der Schule,
El Ágora USB,
El Guiniguada,
Emerald Publishing Limited,
"Emotion, Space and Society",
En Fórum Aragón: revista digital de FEAE-Aragón sobre organización and gestión educativa,
En-Clave Pedagógica: Revista Internacional de Investigación e Innovación Educativa,
Encyclopaideia - Journal of Phenomenology and Education,
Englisch,
ENSAYOS. Revista de la Facultad de Educación de Albacete,
Enseñanza & Teaching,
Enseñanza de las Ciencias. Revista de investigación y experiencias didácticas,
Entornos,
Entreciencias: Diálogos en la Sociedad del Conocimiento,
