id,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,book_editor_1,book_editor_2,book_editor_3,book_editor_4,book_editor_5,book_editor_6,book_editor_7,book_editor_8,book_editor_9,book_editor_10,in_book_title,book_publisher,book_publisher_place,pages,year,main_theme,secondary_theme,lang,link,doi,publication_country,search_term,rest
541,Book chapter,Two sides of the same coin? The rise of neo-nationalism and civic integrationism in multi-ethnic Europe,Eger MA,Hjerm M.,,,,,,,,,Jablonski NG,Maré G,,,,,,,,,"The effects of race. Stellenbosch: African Sun Media,",,,151-167,2018,['Policy related research'],[],English,http://umu.diva-portal.org/smash/record.jsf?pid=diva2%3A1259084&dswid=-3039,10.2307/j.ctv1nzg1rh.12,,,
2394,Book Chapter,Creativity and Global Citizenship Education,"Glăveanu, V.",,,,,,,,,,"A. Akkari,",K. Maleq,,,,,,,,,"Global Citizenship Education: Critical and International Perspectives,",Springer Nature,Cham,191-204,2020,"['training of trainers', 'Teacher education']",['Policy related research'],English,,10.1007/978-3-030-44617-8_14,,,
2406,Book Chapter,"Global Citizenship Education and Social Justice for Immigrant Students: Implications for Administration, Leadership, and Teaching in Schools","Guo-Brennan, L","Guo-Brennan, M.",,,,,,,,,Rosemary Papa,,,,,,,,,,Handbook on Promoting Social Justice in Education,Springer,Switzerland,2203-2222,2020,['Policy related research'],[],English,https://link.springer.com/referenceworkentry/10.1007%2F978-3-030-14625-2_40,10.1007/978-3-319-74078-2_40-1,,,
701,Book,International Schooling and Education in the ‘New Era’: Emerging Issues,"Bunnell, T.",,,,,,,,,,,,,,,,,,,,,Emerald Publishing,"Bingley, UK",,2019,['Formal Education'],[],English,https://books.emeraldinsight.com/page/detail/International-Schooling-and-Education-in-the/?K=9781787695443,10.1108/9781787695412,,,
1712,Book,"El Aprendizaje-Servicio en educación superior. Teoría, práctica y perspectiva crítica","Deeley, S.",,,,,,,,,,,,,,,,,,,,,Narcea,Madrid,,2016,['Higher education research'],[],Spanish,http://revistes.ub.edu/index.php/RIDAS/article/view/RIDAS2017.3.14/22056,10.1344/RIDAS2017.3.14,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
1352,Book Chapter,Learning morality? Über die Notwendigkeit (der Vermittlung) von Normen und Werten im Kontext globaler Transformationen: Schriftenreihe Ökologie und Erziehungswissenschaft der Kommission Umweltbildung der Deutschen Gesellschaft für Erziehungswissenschaft,"Huber, M.",,,,,,,,,,"Clemens, I.","Hornberg, S.","Rieckmann, M.",,,,,,,,Bildung und Erziehung im Kontext globaler Transformationen.,Budrich,Opladen,193-204,2019,"['conceptual publications', 'Theoretical']",[],German,,10.2307/j.ctvm201r8.14,,,
1347,Book Chapter,"Erziehung zur Demokratie und Gewaltfreiheit: Schule als Ort des Demokratielernens? Schriften der Katholischen Hochschule Nordrhein-Westfalen, 21","Berndt, C.",,,,,,,,,,N. Frieters-Reermann,G. Lang-Wojtasik,,,,,,,,,Friedenspädagogik und Gewaltfreiheit. Denkanstöße für eine differenzsensible Kommunikations- und Konfliktkultur.,Verlag Barbara Budrich,"Opladen, Berlin, Toronto",177-191,2015,"['conceptual publications', 'Theoretical']",[],German,https://nbn-resolving.org/urn:nbn:de:0111-pedocs-158417;,10.25656/01:15841,,,
2156,Book,Haalt de Universiteit 2040? Een Europees perspectief op wereldwijde kansen en bedreigingen. Amsterdam University Press,"Van der Zwaan, B.",,,,,,,,,,,,,,,,,,,,,Amsterdam University Press,,,2016,['Higher education research'],"['conceptual publications', 'Theoretical']",Dutch,http://library.oapen.org/handle/20.500.12657/31962,10.26530/OAPEN_620650,,,
1816,Book,Del otro lado de la muralla. Experiencias de educación en derechos humanos en Cartagena de Indias y San Basilio de Palenque,"Sánchez-Mojica, D. (ed.)",,,,,,,,,,,,,,,,,,,,,Centro de Investigación and Educación Popular-Universidad Central-Iesco,Bogotá,,2017,['Formal Education'],[],Spanish,https://dialnet.unirioja.es/servlet/articulo?codigo=6888279,10.30578/nomadas.n49a17,,CIUDADANÍA GLOBAL,
1339,Book,Bildung und Erziehung im Kontext globaler Transformationen,"I. Clemens, S. Hornberg",M. Rieckmann (Eds.),,,,,,,,,,,,,,,,,,,,Budrich,Opladen,,2019,"['conceptual publications', 'Theoretical']",[],German,https://shop.budrich-academic.de/wp-content/uploads/2018/05/9783847412014.pdf?v=3a52f3c22ed6,10.3224/84742174,,,
595,Book,Critical Theory and Transformative Learning,"Wang, V. X.",,,,,,,,,,,,,,,,,,,,,IGI Global,,,2018,"['conceptual publications', 'Theoretical']",[],English,https://www.igi-global.com/book/critical-theory-transformative-learning/196162,10.4018/978-1-5225-6086-9,,,
918,Book,Study Abroad Opportunities for Community College Students and Strategies for global learning,"Malveaux, Gregory F.","Raby, Rosalind Latiner",,,,,,,,,,,,,,,,,,,,,,,2018,"['educational partnerships', 'International Volunteering, study visits']",[],English,https://www.igi-global.com/book/study-abroad-opportunities-community-college/198507,10.4018/978-1-5225-6252-8,,,
787,Book,Handbook of Research on Education for Participative Citizenship and Global Prosperity. Location IGI Global Disseminator of Knowledge,"Pineda-Alfonso, J. A.","De Alba-Fernandes, N.","Navarro-Medina, E.",,,,,,,,,,,,,,,,,,,Location IGI Global Disseminator of Knowledge,,,2018,['Non-formal education'],[],English,https://www.igi-global.com/book/handbook-research-education-participative-citizenship/203074,10.4018/978-1-5225-7110-0,,,
1112,Book,Cultivating Global Competencies for the 21st Century Classroom: A Transformative Teaching Model,"Yildiz, M. N.","Palak, D.",,,,,,,,,,,,,,,,,,,,IGI Global,"Hershey, PA",,2019,"['conceptual publications', 'Theoretical']",[],English,,10.4018/978-1-5225-7305-0.ch032,,,
839,Book chapter,"Are Teachers Prepared to Educate in Citizenship?: Some Conclusions From Research in Andalusia, Spain","García-Pérez, F. F.",,,,,,,,,,,,,,,,,,,,Handbook of Research on Education for Participative Citizenship and Global Prosperity,IGI Global,,409-430,2019,"['training of trainers', 'Teacher education']",[],English,https://www.igi-global.com/chapter/are-teachers-prepared-to-educate-in-citizenship/217228,10.4018/978-1-7998-3438-0.ch021,,,
540,Book chapter,Between Local and Global Citizenship in Egypt,"Ahmed, S. O.",,,,,,,,,,"Dorio, J. N.","Abdou, E. D.","Moheyeldine, N.",,,,,,,,The Struggle for Citizenship Education in Egypt:(Re) Imagining Subjects and Citizens,Routledge,"New York, USA",,2019,['Policy related research'],[],English,https://www.routledge.com/The-Struggle-for-Citizenship-Education-in-Egypt-ReImagining-Subjects/Dorio-Abdou-Moheyeldine/p/book/9780429029271,10.4324/9780429029271-9,,,
2614,Book Chapter,Global Citizenship Education and the making of America's neoliberal empire,"Zemach-Bersin, T.",,,,,,,,,,"Chapman, D.","Ruiz-Chapman T.,","Eglin, P.",,,,,,,,"The Global Citizenship Nexus, (1st ed)",Routledge,NY,,2020,['Higher education research'],['Policy related research'],English,https://www.waxmann.com/waxmann-zeitschriften/waxmann-zeitschriftendetails/?no_cache=1&tx_p2waxmann_pi2%5Bzeitschrift%5D=ZEI1009&tx_p2waxmann_pi2%5Bausgabe%5D=AUG100400&tx_p2waxmann_pi2%5Baction%5D=ausgabe&tx_p2waxmann_pi2%5Bcontroller%5D=Zeitschrift&cHash=2e8ae944aa67e6b1dbca88e16e768dc8,10.4324/9780429320668-3,,,
2396,Book Chapter,"Global citizenship education and its discontents, from the global North to the global South","Golovátina-Mora, P.","Harper, S.","Gullion, J.","Karatzogianni, A.","Simmons, T.",,,,,,"Chapman, Debra D.","Ruiz-Chapman, T.","Eglin, P.",,,,,,,,The Global Citizenship Nexus,Routledge,London,,2020,"['conceptual publications', 'Theoretical']",[],English,,10.4324/9780429320668-9,,,
2431,Book Chapter,"Critically Countering Appropriations of Global citizenship education in the Indian Context: Hard, Gated and unmentionable","Iftekhar, S.","Misiaszek, G.",,,,,,,,,L. Misiaszek,,,,,,,,,,"Exploring the Complexities in Global Citizenship Education: Hard Spaces, Methodologies, and Ethics",Routkedge,Oxford,191-214,2020,['Policy related research'],[],English,https://www.routledge.com/Exploring-the-Complexities-in-Global-Citizenship-Education-Hard-Spaces/Misiaszek/p/book/9780367784515,10.4324/9781315180397-10,,,
2361,Book Chapter,"Media, Youth, and Global Citizenship: The Challenges of Identity Construction in the Age of Global Media Capitalism","Chin, Y.",,,,,,,,,,L. Misiaszek,,,,,,,,,,"Exploring the Complexities in Global Citizenship Education: Hard Spaces, Methodologies, and Ethics",Routkedge,Oxford,,2020,['Policy related research'],[],English,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315180397-5/media-youth-global-citizenship-yoomi-chin?context=ubx&refId=2ef6e072-ed1e-4eb4-ab25-861bec8beaec,10.4324/9781315180397-5,,,
2440,Book Chapter,Negotiating the Global and National in Citizenship Education: Historical Legacies and Its Complicatied Neighbor in South Korea,"Kim, H.",,,,,,,,,,L. Misiaszek,,,,,,,,,,"Exploring the Complexities in Global Citizenship Education: Hard Spaces, Methodologies, and Ethics",Routkedge,Oxford,178-190,2020,['Policy related research'],[],English,https://www.routledge.com/Exploring-the-Complexities-in-Global-Citizenship-Education-Hard-Spaces/Misiaszek/p/book/9780367784515,10.4324/9781315180397-9,,,
542,Book chapter,Framing Global Education in the United States: Policy Perspectives,"Engel, L. C.",M. M. Siczek,,,,,,,,,L. D. Hill,F. J. Levine,,,,,,,,,Global Perspectives on Education Research,Routledge.,,38-59,2018,['Policy related research'],[],English,https://www.routledge.com/Global-Perspectives-on-Education-Research-1st-Edition/Hill-Levine/p/book/9780815356271,10.4324/9781351128421-2,,,
2397,Book Chapter,Global Citizenship Education and Teacher Education in Spain and Portugal,"Gomes Dias, A.","Gomez Rodriguez, E.","Santisteban, A.","Pages Blanch, J.",,,,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,201-214,2020,"['training of trainers', 'Teacher education']",[],English,,10.4324/9781351129848-11,,,
2568,Book Chapter,"Exploring Global Citizenship in Teacher Education Across Europe: A Comparative Analysis of Austria, Czech Republic, Ireland and Italy","Tarozzi, M.",,,,,,,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,215-232,2020,['Policy related research'],['Non-formal education'],English,,10.4324/9781351129848-12,,,
2398,Book Chapter,"Teacher Education and Global Citizenship Education in Latin America: The Cases of Argentina, Brazil,Chile and Colombia","Gonzalez-Valencia, G.","A., Jara","M., A.","Pinochet Pinochet, S.","Da Silva Santiago, L.","A., Pages Blanch",J.,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,250-263,2020,"['training of trainers', 'Teacher education']",[],English,,10.4324/9781351129848-14,,,
2355,Book Chapter,Global Citizenship Education and Teacher Education in Oceania,"Casinader, N.",,,,,,,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,264-284,2020,"['training of trainers', 'Teacher education']",[],English,,10.4324/9781351129848-15,,,
2332,Book Chapter,"Critical Global Citizenship Education in Canada, England and the United States: Interrogating (In)justice and Self-reflexivity in Teacher Education Programs","Bergen, J.","K., Cook","S., A.","McLean, L.",,,,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,40-40,2020,"['training of trainers', 'Teacher education']",[],English,,10.4324/9781351129848-3,,,
2395,Book Chapter,"Global Citizenship Education in East, South, and Southeast Asia","Goh, M.","Deutschman M., C.",,,,,,,,,"Schugurensky, D.","Wolhuter, C.",,,,,,,,,Global Citizenship Education in Teacher Education: Theoretical and Practical Issues (1st ed),Routledge,New York,161-178,2020,"['conceptual publications', 'Theoretical']",[],English,,10.4324/9781351129848-9,,,
874,Book,Leadership for sustainability in higher education,"Haddock-Fraser J, Rands P",Scoffham S.,,,,,,,,,,,,,,,,,,,,Bloomsbury Publishing,,,2018,['Higher education research'],[],English,https://www.bloomsbury.com/uk/leadership-for-sustainability-in-higher-education-9781350006126/,10.5040/9781350006133,,,
596,Book,"Critical Human Rights, Citizenship and Democracy Education: Entanglements and Regenerations","Zembylas, M","Keet, A (Eds.)",,,,,,,,,,,,,,,,,,,,Bloomsbury Critical Education,London,,2018,"['conceptual publications', 'Theoretical']",[],English,https://bloomsbury.com/uk/critical-human-rights-citizenship-and-democracy-education-9781350045620/,10.5040/9781350045668.ch-005,,,
1091,Book,"Transnational Perspectives on Democracy, Citizenship, Human Rights and Peace Education","Drinkwater, M.","Rizvi, F.","Edge, K. (Eds.).",,,,,,,,,,,,,,,,,,,Bloomsbury Publishing,,,2019,"['conceptual publications', 'Theoretical']",['Formal Education'],English,,10.5040/9781350052369,,,
537,Book,"Business, Power and Sustainability in a World of Global Value Chains.","Ponte, S.",,,,,,,,,,,,,,,,,,,,,Zed Books publishing,,,2019,['Policy related research'],[],English,https://www.zedbooks.net/shop/book/business-power-and-sustainability-in-a-world-of-global-value-chains/forthcoming/,10.5040/9781350218826,,,
538,Book,"Global Education Policy and International Development : New Agendas, Issues and Policies - 2nd Revised Edition","Verger, A.","Altinyelken, H. K.","Novelli, M.",,,,,,,,,,,,,,,,,,,Bloomsbury Academic,London,,2018,['Policy related research'],[],English,https://www.bloomsbury.com/uk/global-education-policy-and-international-development-9781474296014/,10.5040/9781472544575.ch-001,,,
806,Book,Rethinking youth citizenship after the age of entitlement,Walsh L,Black R.,,,,,,,,,,,,,,,,,,,,Bloomsbury Publishing,,,2018,"['community work', 'Informal education including youth work, media']",[],English,https://www.bloomsbury.com/uk/rethinking-youth-citizenship-after-the-age-of-entitlement-9781474248037/,10.5040/9781474248068,,,
117,Book,Global Citizenship Education: A Critical Introduction to Key Concepts and Debates,"Davies, I.","Sant, E.","Shultz, L.","Pashby, K. (Eds.)",,,,,,,,,,,,,,,,,,Bloomsbury Publishing,London,,2018,"['conceptual publications', 'Theoretical']",[],English,,10.5040/9781474286749,,,
590,Book,Global Citizenship Education: A Critical Introduction to Key Concepts and Debate,"Sant, Edda","Davies, Ian","Pashby, Karen","Shultz, Lynette",,,,,,,,,,,,,,,,,,,,,2018,"['conceptual publications', 'Theoretical']",[],English,https://books.google.co.uk/books?id=WX1GDwAAQBAJ&pg=PA27&dq=global+citizenship+education&hl=en&sa=X&ved=0ahUKEwi7g_2C5vXfAhXAUxUIHSsnC1UQ6AEIMDAB#v=onepage&q=global%20citizenship%20education&f=false,10.5040/9781474286749.pt-002,,,
1317,Book,International comparative adult education research,M. Schemmann (Ed.),,,,,,,,,,,,,,,,,,,,,Böhlau,Köln,,2017,['Non-formal education'],[],German,,10.7788/ijbe-2016-0108,,,
2203,Book,Educação em português e cidadania global,"Sá, C.","Mesquita, L.",,,,,,,,,,,,,,,,,,,,UA Editora,Aveiro,,2020,"['training of trainers', 'Teacher education']",['Higher education research'],Portuguese,https://ria.ua.pt/handle/10773/29239,https://doi.org/10.34624/1vkd-0187,,,
922,Book chapter,Introduction: A theoretical and methodological case for examining agency and power relations in North-South volunteering research collaborations,"Tiessen, R.","Lough, B.J.","Cheung, S.",,,,,,,,,,,,,,,,,,Insights on International Volunteering: Nomos Verlagsgesellschaft mbH & Co KG,,,,2018,"['educational partnerships', 'International Volunteering, study visits']",[],English,https://www.nomos-elibrary.de/10.5771/9783845283920-7/introduction-a-theoretical-and-methodological-case-for-examining-agency-and-power-relations-in-north-south-volunteering-research-collaborations,https://doi.org/10.5771/9783845283920-7,,,
1113,Book Chapter,The everyday and spectacle of subdued citizenship in northern Uganda,"Alava, H.",,,,,,,,,,"Holma, K.","Kontinen, T.",,,,,,,,,Practices of Citizenship in East Africa: Perspectives from Philosophical Pragmatism,Routledge.,,90-104,2019,"['conceptual publications', 'Theoretical']",[],English,,http://doi.org/10.1007/s12564-019-09594-0,,,
1136,Book Chapter,Gendered citizenship in rural Uganda,"Ndidde, A. N.","Ahimbisibwe, K. F.","Kontinen, T.",,,,,,,,"Holma, K.","Kontinen, T.",,,,,,,,,Practices of Citizenship in East Africa: Perspectives from Philosophical Pragmatism,Routledge,London,,2019,"['conceptual publications', 'Theoretical']","['Informal education including youth work, media', 'community work']",English,,http://doi.org/10.1080/00094056.2019.1616468,,,
621,Book chapter,Paulo Freire and Communication Studies,Ramalho T.,,,,,,,,,,,,,,,,,,,,Oxford Research Encyclopedia of Communication,,,,2018,"['conceptual publications', 'Theoretical']",[],English,,http://doi.org/10.1093/acrefore/9780190228613.013.608,,,
2598,Book Chapter,Global Education in Europe: From Genesis to Theory and a New Model for Critical Transformation,"Wegimont, L.",,,,,,,,,,D. Bourn,,,,,,,,,,The Bloomsbury Handbook of Global Educationa and Learning,Bloomsbury Academic,London,23-39,2020,"['conceptual publications', 'Theoretical']",[],English,,http://doi.org/10.36366/frontiers.v32i3.580,,,
