Book publisher,Theses publisher,"Controllare i doppioni 
e sostituire ovunque in tabella 
""books_and_chapters"" e ""theses"""
ABA Book (Associação Brasil América),American College of Education,
Acciona,"Arizona State University, Glendale, US",
Acco,"Azusa Pacific University, Los Angeles, USA",
AECID-Fundación Intered,Belém: Universidade Federal do Pará,
African Sun Media,"Biola University, USA",
American Psychological Association,"Boston University, USA",
Amsterdam University Press,,
Andavia,Brookings Institution Press,
Anicia,"California State University, Fresno",
"Argentina, FDER: Facultad de Derecho de la Universidad de Rosario","California State University, Fullerton, USA",
Armando Editore,"California State University, Northridge",
ASCD,Canoas Rs: Unilassale,
"Asociación para la Formación, el Ocio and el Empleo","Canterbury Christ Church University, Canterbury, UK",
Asociación Universitaria de Profesorado de Didáctica de las Ciencias Sociales (AUPDCS)-Universidad de Valladolid,"Cardiff Metropolitan University. Cardiff, UK",
Associação Par-Respostas Sociais e IMVF,"Cardinal Stritch University, USA",
Associazione Nazionale Universitaria Antropologi Culturali (ANUAC),Cátedra de Cooperación para el Desarrollo,
Auer Verlag,Ceará: Faculdade de Educação da Universidade Federal do Ceará,
Aulis Verlag,Centro de Investigação e Intervenção Educativas da Faculdade de Psicologia e de Ciências da Educação da Universidade do Porto,
,Centrum voor Duurzame Ontwikkeling,
AVE Focsiv,CEO,
Baltmannsweiler,Character Education for 21st Century Global Citizens,
Barbara Budrich,CIDAC/FGS,
,"Clemson University, USA",
Beltz - Beltz Juventa,,
Bloomsbury,,
,"Columbia University, USA",
,Comissão de Acompanhamento da Estratégia Nacional de Educação para o Desenvolvimento,
,"Concordia University Portand, Oregon, US",
Breda,"Creighton University, Omaha, USA",
BRILL,De openbare les,
,Departamento de Ecología. Universidad Autónoma de Madrid,
,DePaul University,
,"DERC, UCL Institute of Education",
,,
Barbara Budrich,DP Evaluation,
,Drexel University,
Cambridge Scholars Publishing,,
Cambridge University Press,"Durham University. Durham, UK",
Campobell,Edita Red de ONGD de Madrid,
Canadian Scholars,"Education University of Hong Kong, Hong Kong",
Carl Link,"ENSEM Université HASSAN II de
 Casablanca (Morocco)",
Carocci,European Educational Research Association,
CECIP,"Fielding Graduate University. Santa Barbara, CA, USA",
Cecs-Publicações Ebooks,Florianópolis: Universidade Federal de Santa Catarina,
CEIPAZ,Florida Atlantic University,
"Centro de Estudos e Intervenção em Educação e Formação (CEIEF), Universidade Lusófona de Humanidades e Tecnologias","Fordham University, Manhattan, US",
"CIDAC - Centro de Intervenção para o Desenvolvimento Amílcar Cabral, FGS - Fundação e Gonçalo da Silveira e Graal","Freie Universitat Bozen, Bolzano, Italy",
"CIED - Centro Interdisciplinar de Estudos Educacionais, Escola Superior de Educação do Instituto Politécnico de Lisboa","Gartenschlaeger, U. (Ed.), Rethinking adult learning and education-Asian perspectives (pp. 115-126). DVV International",
CIMO,GENE,
