,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
1575,Doctoral Theses,Educación para la ciudadanía global en el bachillerato general mexicano. Un estudio de caso sobre la recontextualización del discurso oficial en el campo pedagógico.,"Peraza Sanginés, C.",,,,,,,,,,2015,Universidad Autónoma de Barcelona,['Formal Education'],,[],Spanish,https://www.educacion.gob.es/teseo/imprimirFicheroTesis.do?idFichero=zJwQX40N39k%3D,10.13140/RG.2.2.21608.39683,,CIUDADANÍA GLOBAL,
410,Doctoral Theses,The role of English in internationalisation and global citizenship identity in South Korean higher education (Doctor of Philosophy),"Cavanagh, C.",,,,,,,,,,2016,"University of Southampton, Southampton, UK",['Higher education research'],,[],English,http://eprints.soton.ac.uk/id/eprint/411813,10.13140/RG.2.2.21671.60328,,,
948,Doctoral Theses,"Space for a Change? An Exploration of Power, Privilege and Transformative Pedagogy in a Gap Year Education Programme in South America","Dalby, T.P.",,,,,,,,,,2017,School of International Development University of East Anglia,"['educational partnerships', 'International Volunteering, study visits']",,[],English,https://ueaeprints.uea.ac.uk/67811/1/Pablo_Dalby_PhD_Thesis_Final_Version.pdf,10.13140/RG.2.2.27475.22566,,,
1596,Doctoral Theses,La educación para el desarrollo en la universidad: análisis y alternativa,"Ruiz Ruiz, E.",,,,,,,,,,2015,Universidad de Salamanca,['Higher education research'],,[],Spanish,http://hdl.handle.net/10366/127877,10.14201/gredos.127877,,EDUCACIÓN PARA EL DESARROLLO,
1400,Doctoral Theses,Migrazioni e cittadinanza globale.  Uno studio sul significato del riconoscimento tra cultura e identità.,"Corvino, Isabella",,,,,,,,,,2017,Università di Bologna,['Policy related research'],,[],Italian,http://amsdottorato.unibo.it/8208/,10.6092/unibo/amsdottorato/8208,,,
1163,Doctoral Theses,The moral dimension of Global Citizenship Education in the Province of Trento. Perspectives and practices of lower secondary school teachers in a context of local and global policy changes (Doctoral of Philosophy).,"Franch, Sara",,,,,,,,,,2019,"Freie Universitat Bozen, Bolzano, Italy",['Formal Education'],,[],English,,http://doi.org/10.5040/9781350052369.ch-007,,,
1169,Doctoral Theses,Connecting the 'Local' and 'Global': Japanese Secondary School Students' Perceptions and Attitudes Towards the World (Doctoral of Philosophy),"Kukita, S. M.",,,,,,,,,,2019,"University College London, UK","['conceptual publications', 'Theoretical']",,['Formal Education'],English,,http://doi.org/10.5040/9781350052369.ch-008,,,
1180,Doctoral Theses,Perceptions and experiences of global citizenship education (Doctoral of Philosophy),"Saperstein, E.",,,,,,,,,,2019,"Northeastern University, Boston, USA","['conceptual publications', 'Theoretical']",,['Formal Education'],English,,http://doi.org/10.5040/9781350052369.ch-009,,,
1161,Doctoral Theses,"“Life is bigger than new york:” students of color, global competence, cosmopolitanism, and travel (Doctoral of Philosophy)","Desrosiers, A. P.",,,,,,,,,,2019,"Fordham University, Manhattan, US","['conceptual publications', 'Theoretical']",,[],English,,http://doi.org/10.5040/9781350052369.ch-011,,,
1176,Doctoral Theses,A global pedagogical method to global citizenship (Doctoral of Philosophy),"Reddy, Chris",,,,,,,,,,2019,"Creighton University, Omaha, USA","['conceptual publications', 'Theoretical']",,[],English,,http://doi.org/10.5040/9781350052369.ch-012,,,
2384,Doctoral Theses,Community college faculty internationalizing curriculum with a global perspective for competition in the global economy: A qualitative case study (Doctoral of Philosophy),"Fochier, M.",,,,,,,,,,2020,"Northcentral University, San Diego, US","['conceptual publications', 'Theoretical']",,['Formal Education'],English,,http://dx.doi.org/10.1080/00220272.2020.1727018,,,
413,Doctoral Theses,The Emergent Global Citizen: Cultivating Global Citizenship Identity and Engagement Within Soka Education (Doctor of Philosophy),"Sherman, P.D.",,,,,,,,,,2017,"Lancaster University, Lancaster, UK",['Higher education research'],,[],English,,http://dx.doi.org/10.17635/lancaster/thesis/43,,,
